Model,Selected_Type,Epoch,Precision_class_0,Recall_class_0,F1_class_0,AUC_class_0,Precision_class_1,Recall_class_1,F1_class_1,AUC_class_1,Precision_class_2,Recall_class_2,F1_class_2,AUC_class_2,Overall_Accuracy,Overall_Precision,Overall_Recall,Overall_F1,Overall_AUC,Epoch_num
inception_next_small.sail_in1k,Best,13,0.9914452949122016,0.9957042731177932,0.9935702199661588,0.9465,0.7414965986394558,0.5956284153005464,0.6606060606060605,0.9572,1.0,0.75,0.8571428571428571,0.8543,0.9874,0.911,0.7804,0.8371,0.9194,13.0
inception_next_small.sail_in1k,FinalTest,FINALTEST,0.9904494382022472,0.9964955912276736,0.9934633156767722,0.9471,0.7709923664122137,0.5519125683060109,0.643312101910828,0.9582,0.8333333333333334,0.625,0.7142857142857143,0.9926,0.9872,0.8649,0.7245,0.7837,0.966,
vit_base_patch16_clip_224.openai_ft_in12k_in1k,Best,9,0.9924110475242598,0.90176350893059,0.9449182658137883,0.8884,0.1277258566978193,0.6721311475409836,0.2146596858638743,0.8885,0.1944444444444444,0.875,0.3181818181818182,0.8771,0.8971,0.4382,0.8163,0.4926,0.8847,9.0
vit_base_patch16_clip_224.openai_ft_in12k_in1k,FinalTest,FINALTEST,0.9932844173610248,0.902893963373276,0.9459347427014864,0.8982,0.1340314136125654,0.6994535519125683,0.2249560632688928,0.8901,0.1707317073170731,0.875,0.2857142857142857,0.9539,0.8987,0.4327,0.8258,0.4855,0.9141,
tiny_vit_21m_224.dist_in22k_ft_in1k,Best,14,0.9933288104929896,0.9931042278996156,0.993216506500848,0.9804,0.6756756756756757,0.6830601092896175,0.6793478260869565,0.9798,0.875,0.875,0.875,0.9952,0.9867,0.848,0.8504,0.8492,0.9851,14.0
tiny_vit_21m_224.dist_in22k_ft_in1k,FinalTest,FINALTEST,0.9927716286424216,0.9936694551209586,0.9932203389830508,0.9765,0.6936416184971098,0.6557377049180327,0.6741573033707865,0.978,0.7,0.875,0.7777777777777777,0.9813,0.9867,0.7955,0.8415,0.8151,0.9786,
pit_b_distilled_224.in1k,Best,19,0.9937507101465742,0.9886954555731404,0.9912166373887912,0.9747,0.5652173913043478,0.7103825136612022,0.6295399515738498,0.9751,1.0,0.75,0.8571428571428571,0.9671,0.9828,0.853,0.8164,0.826,0.9723,19.0
pit_b_distilled_224.in1k,FinalTest,FINALTEST,0.992978482446206,0.9911824553470496,0.9920796560307762,0.9753,0.6069651741293532,0.6666666666666666,0.6354166666666666,0.9798,0.8333333333333334,0.625,0.7142857142857143,0.9166,0.9843,0.8111,0.7609,0.7806,0.9572,
pvt_v2_b4.in1k,Best,10,0.9944273854202206,0.9884693646846032,0.9914394240036284,0.9802,0.576271186440678,0.7431693989071039,0.649164677804296,0.9804,0.75,0.75,0.75,0.9918,0.9833,0.7736,0.8272,0.7969,0.9841,10.0
pvt_v2_b4.in1k,FinalTest,FINALTEST,0.9930917327293318,0.991295500791318,0.9921928038017652,0.9812,0.6231155778894473,0.6775956284153005,0.649214659685864,0.9811,0.625,0.625,0.625,0.9979,0.9846,0.7471,0.7646,0.7555,0.9867,
resnet50.a1_in1k,Best,11,0.9940982862331176,0.990165046348632,0.9921277680240131,0.9403,0.6045454545454545,0.726775956284153,0.6600496277915632,0.9412,1.0,0.75,0.8571428571428571,0.9803,0.9846,0.8662,0.8223,0.8364,0.9539,11.0
resnet50.a1_in1k,FinalTest,FINALTEST,0.992980072463768,0.9914085462355868,0.992193687068673,0.9644,0.6262626262626263,0.6775956284153005,0.6509186351706038,0.9704,0.7142857142857143,0.625,0.6666666666666666,0.9072,0.9847,0.7778,0.7647,0.7699,0.9473,
efficientnetv2_rw_t.ra2_in1k,Best,41,0.9913492865970116,0.9975130002260908,0.994421592381811,0.8886,0.8307692307692308,0.5901639344262295,0.6900958466453674,0.964,1.0,0.75,0.8571428571428571,0.9274,0.989,0.9407,0.7792,0.8472,0.9267,41.0
efficientnetv2_rw_t.ra2_in1k,FinalTest,FINALTEST,0.9893402154398564,0.9967216821162108,0.9930172316702331,0.8697,0.7583333333333333,0.4972677595628415,0.6006600660066007,0.9676,0.8,0.5,0.6153846153846154,0.9411,0.9862,0.8492,0.6647,0.7364,0.9262,
deit3_medium_patch16_224.fb_in22k_ft_in1k,Best,16,0.9925305568130376,0.9914085462355868,0.9919692342495192,0.9676,0.6134020618556701,0.6502732240437158,0.6312997347480106,0.9675,0.8571428571428571,0.75,0.7999999999999999,0.9756,0.9843,0.821,0.7972,0.8078,0.9702,16.0
deit3_medium_patch16_224.fb_in22k_ft_in1k,FinalTest,FINALTEST,0.9919864559819414,0.99355640967669,0.992770812154072,0.9754,0.6726190476190477,0.6174863387978142,0.6438746438746439,0.9757,0.7777777777777778,0.875,0.823529411764706,0.9971,0.9858,0.8141,0.8287,0.8201,0.9827,
volo_d1_224.sail_in1k,Best,30,0.9928845719448836,0.9937825005652272,0.9933333333333332,0.9298,0.6892655367231638,0.6666666666666666,0.6777777777777778,0.9119,1.0,0.75,0.8571428571428571,0.9783,0.9869,0.8941,0.8035,0.8428,0.94,30.0
volo_d1_224.sail_in1k,FinalTest,FINALTEST,0.9919936851601264,0.9944607732308388,0.9932256971886644,0.9478,0.7080745341614907,0.6229508196721312,0.6627906976744187,0.9293,0.75,0.75,0.75,0.9945,0.9867,0.8167,0.7891,0.802,0.9572,
swin_base_patch4_window7_224.ms_in22k_ft_in1k,Best,4,0.9951923076923076,0.9828170924711734,0.9889659879422136,0.9669,0.4863945578231292,0.7814207650273224,0.59958071278826,0.9684,0.8571428571428571,0.75,0.7999999999999999,0.9408,0.9785,0.7796,0.8381,0.7962,0.9587,4.0
swin_base_patch4_window7_224.ms_in22k_ft_in1k,FinalTest,FINALTEST,0.9933774834437086,0.983495365136785,0.9884117246080436,0.9698,0.4684014869888476,0.6885245901639344,0.5575221238938053,0.9714,0.7,0.875,0.7777777777777777,0.9848,0.9774,0.7206,0.849,0.7746,0.9753,
convnextv2_tiny.fcmae_ft_in22k_in1k,Best,1,0.9953046266605589,0.9824779561383676,0.9888496984867448,0.9716,0.4832214765100671,0.7868852459016393,0.5987525987525988,0.9744,0.8571428571428571,0.75,0.7999999999999999,0.9383,0.9783,0.7786,0.8398,0.7959,0.9615,1.0
convnextv2_tiny.fcmae_ft_in22k_in1k,FinalTest,FINALTEST,0.9942902820600662,0.9842866832466652,0.9892631937737886,0.9687,0.5,0.7377049180327869,0.5960264900662251,0.9785,0.6,0.75,0.6666666666666665,0.8921,0.9791,0.6981,0.824,0.7507,0.9464,
beitv2_base_patch16_224.in1k_ft_in22k_in1k,Best,3,0.9938892425206874,0.8825457834049287,0.9349140770013772,0.8939,0.1155821917808219,0.7377049180327869,0.1998519615099926,0.8953,0.5,0.875,0.6363636363636364,0.9867,0.8796,0.5365,0.8318,0.5904,0.9253,3.0
beitv2_base_patch16_224.in1k_ft_in22k_in1k,FinalTest,FINALTEST,0.9924423730948482,0.8906850553922677,0.9388144176347928,0.8837,0.1136783733826247,0.6721311475409836,0.1944664031620553,0.884,0.5,1.0,0.6666666666666666,0.9998,0.8864,0.5354,0.8543,0.6,0.9225,
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,Best,13,0.9921052631578948,0.937598914763735,0.9640822968731838,0.9124,0.1794871794871795,0.6502732240437158,0.2813238770685579,0.9145,0.4285714285714285,0.75,0.5454545454545454,0.9084,0.9316,0.5334,0.7793,0.597,0.9118,13.0
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,FinalTest,FINALTEST,0.991573700450985,0.9444946868641194,0.9674617878647522,0.9163,0.1895973154362416,0.6174863387978142,0.2901155327342747,0.9146,0.4666666666666667,0.875,0.608695652173913,0.9909,0.9378,0.5493,0.8123,0.6221,0.9406,
vit_base_patch16_224.augreg_in21k_ft_in1k,Best,2,0.996440858939376,0.9494686864119376,0.9723878437047756,0.9734,0.2591362126245847,0.8524590163934426,0.397452229299363,0.9734,0.8333333333333334,0.625,0.7142857142857143,0.9998,0.9472,0.6963,0.809,0.6947,0.9822,2.0
vit_base_patch16_224.augreg_in21k_ft_in1k,FinalTest,FINALTEST,0.9950518378887842,0.9547818222925616,0.9745009807315104,0.9682,0.2629629629629629,0.7759562841530054,0.3928077455048409,0.9684,0.7777777777777778,0.875,0.823529411764706,0.9996,0.9511,0.6786,0.8686,0.7303,0.9787,
