model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
coat_lite_small.in1k,224,82.302,17.698,95.834,4.166,19.84,0.9,bicubic
resnet152.tv2_in1k,224,82.294,17.706,96.0,4.0,60.19,0.965,bilinear
convit_base.fb_in1k,224,82.294,17.706,95.938,4.062,86.54,0.875,bicubic
vit_srelpos_medium_patch16_224.sw_in1k,224,82.25,17.75,95.928,4.072,38.74,0.9,bicubic
convnext_tiny_hnf.a2h_in1k,224,82.23,17.77,95.86,4.14,28.59,0.95,bicubic
vit_base_patch16_rpn_224.sw_in1k,224,82.216,17.784,95.998,4.002,86.54,0.9,bicubic
poolformerv2_m36.sail_in1k,224,82.214,17.786,95.896,4.104,56.08,1.0,bicubic
pvt_v2_b2_li.in1k,224,82.202,17.798,96.11,3.89,22.55,0.9,bicubic
ecaresnet101d.miil_in1k,224,82.186,17.814,96.062,3.938,44.57,0.875,bicubic
focalnet_tiny_lrf.ms_in1k,224,82.174,17.826,95.948,4.052,28.65,0.9,bicubic
efficientvit_b2.r224_in1k,224,82.162,17.838,95.71,4.29,24.33,0.95,bicubic
resnext50_32x4d.fb_swsl_ig1b_ft_in1k,224,82.162,17.838,96.224,3.776,25.03,0.875,bilinear
efficientformerv2_s2.snap_dist_in1k,224,82.15,17.85,95.912,4.088,12.71,0.95,bicubic
focalnet_tiny_srf.ms_in1k,224,82.144,17.856,95.97,4.03,28.43,0.9,bicubic
swin_s3_tiny_224.ms_in1k,224,82.128,17.872,95.958,4.042,28.33,0.9,bicubic
poolformer_m36.sail_in1k,224,82.104,17.896,95.698,4.302,56.17,0.95,bicubic
visformer_small.in1k,224,82.096,17.904,95.876,4.124,40.22,0.9,bicubic
pvt_v2_b2.in1k,224,82.094,17.906,95.956,4.044,25.36,0.9,bicubic
convnext_tiny.fb_in1k,224,82.066,17.934,95.854,4.146,28.59,0.875,bicubic
tresnet_xl.miil_in1k,224,82.064,17.936,95.93,4.07,78.44,0.875,bilinear
coatnet_rmlp_nano_rw_224.sw_in1k,224,82.062,17.938,95.87,4.13,15.15,0.9,bicubic
resnetv2_101.a1h_in1k,224,82.042,17.958,95.866,4.134,44.54,0.95,bicubic
convnextv2_nano.fcmae_ft_in22k_in1k,224,82.038,17.962,96.174,3.826,15.62,0.875,bicubic
coatnext_nano_rw_224.sw_in1k,224,81.998,18.002,95.888,4.112,14.7,0.9,bicubic
resnet152.a1_in1k,224,81.998,18.002,95.294,4.706,60.19,0.95,bicubic
resnext101_32x8d.tv2_in1k,176,81.99,18.01,95.716,4.284,88.79,0.875,bilinear
xcit_small_12_p16_224.fb_in1k,224,81.982,18.018,95.814,4.186,26.25,1.0,bicubic
deit_base_patch16_224.fb_in1k,224,81.98,18.02,95.742,4.258,86.57,0.9,bicubic
gcvit_xtiny.in1k,224,81.968,18.032,95.966,4.034,19.98,0.875,bicubic
resnet101.a1h_in1k,224,81.95,18.05,95.76,4.24,44.55,0.95,bicubic
vit_base_patch32_clip_224.openai_ft_in1k,224,81.946,18.054,95.974,4.026,88.22,0.9,bicubic
regnety_032.ra_in1k,224,81.942,18.058,95.97,4.03,19.44,0.95,bicubic
hgnet_tiny.ssld_in1k,224,81.94,18.06,96.114,3.886,14.74,0.965,bicubic
resnet101.tv2_in1k,224,81.906,18.094,95.768,4.232,44.55,0.965,bilinear
xcit_tiny_24_p8_224.fb_in1k,224,81.89,18.11,95.98,4.02,12.11,1.0,bicubic
resnext101_32x16d.fb_ssl_yfcc100m_ft_in1k,224,81.88,18.12,96.1,3.9,194.03,0.875,bilinear
nfnet_l0.ra2_in1k,224,81.868,18.132,96.036,3.964,35.07,0.9,bicubic
convnextv2_nano.fcmae_ft_in1k,224,81.856,18.144,95.74,4.26,15.62,0.875,bicubic
vit_small_r26_s32_224.augreg_in21k_ft_in1k,224,81.844,18.156,96.024,3.976,36.43,0.9,bicubic
pit_s_distilled_224.in1k,224,81.842,18.158,95.724,4.276,24.04,0.9,bicubic
regnety_032.tv2_in1k,224,81.798,18.202,95.846,4.154,19.44,0.965,bicubic
swinv2_cr_tiny_ns_224.sw_in1k,224,81.796,18.204,95.824,4.176,28.33,0.9,bicubic
vit_base_patch16_224.orig_in21k_ft_in1k,224,81.786,18.214,96.124,3.876,86.57,0.9,bicubic
resnetaa50d.sw_in12k_ft_in1k,224,81.782,18.218,96.036,3.964,25.58,0.95,bicubic
resnet152.a2_in1k,224,81.764,18.236,95.27,4.73,60.19,0.95,bicubic
eca_nfnet_l0.ra2_in1k,224,81.764,18.236,95.998,4.002,24.14,0.9,bicubic
coatnet_nano_rw_224.sw_in1k,224,81.704,18.296,95.65,4.35,15.14,0.9,bicubic
twins_svt_small.in1k,224,81.692,18.308,95.668,4.332,24.06,0.9,bicubic
rexnet_200.nav_in1k,224,81.64,18.36,95.668,4.332,16.37,0.875,bicubic
resnext101_32x8d.fb_ssl_yfcc100m_ft_in1k,224,81.62,18.38,96.036,3.964,88.79,0.875,bilinear
wide_resnet50_2.tv2_in1k,224,81.598,18.402,95.764,4.236,68.88,0.965,bilinear
poolformerv2_s36.sail_in1k,224,81.576,18.424,95.68,4.32,30.79,1.0,bicubic
hgnetv2_b2.ssld_stage2_ft_in1k,224,81.566,18.434,95.898,4.102,11.22,0.965,bicubic
regnetx_080.tv2_in1k,224,81.56,18.44,95.542,4.458,39.57,0.965,bicubic
tiny_vit_11m_224.in1k,224,81.538,18.462,95.87,4.13,11.0,0.95,bicubic
tnt_s_patch16_224,224,81.528,18.472,95.734,4.266,23.76,0.9,bicubic
levit_256.fb_dist_in1k,224,81.506,18.494,95.466,4.534,18.89,0.9,bicubic
levit_conv_256.fb_dist_in1k,224,81.506,18.494,95.488,4.512,18.89,0.9,bicubic
tresnet_l.miil_in1k,224,81.498,18.502,95.652,4.348,55.99,0.875,bilinear
repvit_m3.dist_in1k,224,81.494,18.506,95.562,4.438,10.68,0.95,bicubic
resnet101.a1_in1k,224,81.494,18.506,95.164,4.836,44.55,0.95,bicubic
wide_resnet50_2.racm_in1k,224,81.488,18.512,95.544,4.456,68.88,0.875,bicubic
vit_relpos_small_patch16_224.sw_in1k,224,81.476,18.524,95.824,4.176,21.98,0.9,bicubic
dm_nfnet_f0.dm_in1k,192,81.438,18.562,95.678,4.322,71.49,0.9,bicubic
poolformer_s36.sail_in1k,224,81.432,18.568,95.444,4.556,30.86,0.9,bicubic
nest_tiny_jx.goog_in1k,224,81.428,18.572,95.626,4.374,17.06,0.875,bicubic
hgnet_small.paddle_in1k,224,81.426,18.574,95.846,4.154,24.36,0.965,bicubic
convit_small.fb_in1k,224,81.414,18.586,95.736,4.264,27.78,0.875,bicubic
vit_small_patch16_224.augreg_in21k_ft_in1k,224,81.414,18.586,96.15,3.85,22.05,0.9,bicubic
swin_tiny_patch4_window7_224.ms_in1k,224,81.388,18.612,95.54,4.46,28.29,0.9,bicubic
deit3_small_patch16_224.fb_in1k,224,81.374,18.626,95.454,4.546,22.06,0.9,bicubic
efficientnetv2_rw_t.ra2_in1k,224,81.372,18.628,95.552,4.448,13.65,1.0,bicubic
convmixer_1536_20.in1k,224,81.37,18.63,95.63,4.37,51.63,0.96,bicubic
resnet101.a2_in1k,224,81.344,18.656,95.198,4.802,44.55,0.95,bicubic
legacy_senet154.in1k,224,81.326,18.674,95.496,4.504,115.09,0.875,bilinear
coat_mini.in1k,224,81.304,18.696,95.388,4.612,10.34,0.9,bicubic
repvit_m1_1.dist_450e_in1k,224,81.302,18.698,95.572,4.428,8.8,0.95,bicubic
ecaresnet50t.a1_in1k,224,81.284,18.716,95.15,4.85,25.57,0.95,bicubic
seresnext50_32x4d.racm_in1k,224,81.268,18.732,95.626,4.374,27.56,0.875,bicubic
gc_efficientnetv2_rw_t.agc_in1k,224,81.268,18.732,95.574,4.426,13.68,1.0,bicubic
senet154.gluon_in1k,224,81.258,18.742,95.358,4.642,115.09,0.875,bicubic
res2net101d.in1k,224,81.254,18.746,95.348,4.652,45.23,0.875,bilinear
deit_small_distilled_patch16_224.fb_in1k,224,81.216,18.784,95.38,4.62,22.44,0.9,bicubic
xcit_tiny_12_p8_224.fb_dist_in1k,224,81.212,18.788,95.616,4.384,6.71,1.0,bicubic
resnext50_32x4d.tv2_in1k,224,81.176,18.824,95.348,4.652,25.03,0.965,bilinear
resmlp_36_224.fb_distilled_in1k,224,81.15,18.85,95.508,4.492,44.69,0.875,bicubic
resnet50.fb_swsl_ig1b_ft_in1k,224,81.146,18.854,95.98,4.02,25.56,0.875,bilinear
resnest50d_4s2x40d.in1k,224,81.146,18.854,95.566,4.434,30.42,0.875,bicubic
resnext50_32x4d.a1h_in1k,224,81.14,18.86,95.32,4.68,25.03,0.95,bicubic
hrnet_w18_ssld.paddle_in1k,224,81.132,18.868,95.634,4.366,21.3,0.95,bilinear
pit_s_224.in1k,224,81.126,18.874,95.328,4.672,23.46,0.9,bicubic
twins_pcpvt_small.in1k,224,81.122,18.878,95.616,4.384,24.11,0.9,bicubic
vit_srelpos_small_patch16_224.sw_in1k,224,81.108,18.892,95.58,4.42,21.97,0.9,bicubic
haloregnetz_b.ra3_in1k,224,81.052,18.948,95.2,4.8,11.68,0.94,bicubic
resnet152s.gluon_in1k,224,81.048,18.952,95.442,4.558,60.32,0.875,bicubic
resmlp_big_24_224.fb_in1k,224,81.034,18.966,95.026,4.974,129.14,0.875,bicubic
resnest50d_1s4x24d.in1k,224,81.018,18.982,95.336,4.664,25.68,0.875,bicubic
swin_tiny_patch4_window7_224.ms_in22k_ft_in1k,224,80.966,19.034,96.02,3.98,28.29,0.9,bicubic
resnest50d.in1k,224,80.958,19.042,95.372,4.628,27.48,0.875,bilinear
resnet50d.ra4_e3600_r224_in1k,224,80.956,19.044,95.38,4.62,25.58,0.95,bicubic
resnext101_32x4d.fb_ssl_yfcc100m_ft_in1k,224,80.936,19.064,95.732,4.268,44.18,0.875,bilinear
regnetx_032.tv2_in1k,224,80.926,19.074,95.268,4.732,15.3,0.965,bicubic
convnext_nano_ols.d1h_in1k,224,80.906,19.094,95.254,4.746,15.65,0.95,bicubic
seresnext101_32x4d.gluon_in1k,224,80.886,19.114,95.268,4.732,48.96,0.875,bicubic
seresnext101_64x4d.gluon_in1k,224,80.886,19.114,95.308,4.692,88.23,0.875,bicubic
ecaresnet50t.a2_in1k,224,80.884,19.116,95.022,4.978,25.57,0.95,bicubic
tiny_vit_5m_224.dist_in22k_ft_in1k,224,80.862,19.138,95.672,4.328,5.39,0.95,bicubic
resnet50.tv2_in1k,224,80.844,19.156,95.42,4.58,25.56,0.965,bilinear
resnetv2_50d_evos.ah_in1k,224,80.828,19.172,95.27,4.73,25.59,0.95,bicubic
repvit_m1_1.dist_300e_in1k,224,80.826,19.174,95.174,4.826,8.8,0.95,bicubic
tresnet_m.miil_in1k,224,80.816,19.184,94.862,5.138,31.39,0.875,bilinear
ecaresnet101d_pruned.miil_in1k,224,80.814,19.186,95.62,4.38,24.88,0.875,bicubic
regnety_320.pycls_in1k,224,80.796,19.204,95.24,4.76,145.05,0.875,bicubic
resnetv2_50d_gn.ah_in1k,224,80.794,19.206,95.356,4.644,25.57,0.95,bicubic
resmlp_24_224.fb_distilled_in1k,224,80.766,19.234,95.22,4.78,30.02,0.875,bicubic
convnext_nano.d1h_in1k,224,80.762,19.238,95.332,4.668,15.59,0.95,bicubic
poolformerv2_s24.sail_in1k,224,80.752,19.248,95.318,4.682,21.34,1.0,bicubic
hgnetv2_b2.ssld_stage1_in22k_in1k,224,80.746,19.254,95.498,4.502,11.22,0.965,bicubic
vit_base_patch32_224.augreg_in21k_ft_in1k,224,80.736,19.264,95.57,4.43,88.22,0.9,bicubic
resnet50d.a1_in1k,224,80.73,19.27,94.678,5.322,25.58,0.95,bicubic
gernet_m.idstcv_in1k,224,80.726,19.274,95.184,4.816,21.14,0.875,bilinear
resnetrs101.tf_in1k,192,80.71,19.29,95.238,4.762,63.62,0.94,bicubic
regnety_016.tv2_in1k,224,80.696,19.304,95.34,4.66,11.2,0.965,bicubic
resnet50.a1h_in1k,224,80.652,19.348,95.312,4.688,25.56,1.0,bicubic
resnext101_64x4d.gluon_in1k,224,80.64,19.36,95.0,5.0,83.46,0.875,bicubic
ecaresnet50d.miil_in1k,224,80.618,19.382,95.312,4.688,25.58,0.875,bicubic
resnetaa50.a1h_in1k,224,80.614,19.386,95.212,4.788,25.56,0.95,bicubic
resnet152.a3_in1k,224,80.548,19.452,95.004,4.996,60.19,0.95,bicubic
resnet50d.ra2_in1k,224,80.548,19.452,95.158,4.842,25.58,0.875,bicubic
resnext50_32x4d.a1_in1k,224,80.526,19.474,94.458,5.542,25.03,0.95,bicubic
repvgg_b3.rvgg_in1k,224,80.518,19.482,95.254,4.746,123.09,0.875,bilinear
efficientformer_l1.snap_dist_in1k,224,80.502,19.498,94.992,5.008,12.29,0.95,bicubic
mixnet_xl.ra_in1k,224,80.49,19.51,94.938,5.062,11.9,0.875,bicubic
wide_resnet101_2.tv2_in1k,176,80.488,19.512,94.98,5.02,126.89,0.875,bilinear
resnet152d.gluon_in1k,224,80.476,19.524,95.196,4.804,60.21,0.875,bicubic
repvit_m2.dist_in1k,224,80.468,19.532,95.172,4.828,8.8,0.95,bicubic
xcit_tiny_24_p16_224.fb_dist_in1k,224,80.466,19.534,95.202,4.798,12.12,1.0,bicubic
resnet101d.gluon_in1k,224,80.466,19.534,95.034,4.966,44.57,0.875,bicubic
ecaresnetlight.miil_in1k,224,80.456,19.544,95.248,4.752,30.16,0.875,bicubic
repvit_m1_0.dist_450e_in1k,224,80.446,19.554,94.92,5.08,7.3,0.95,bicubic
resnext50_32x4d.a2_in1k,224,80.444,19.556,94.63,5.37,25.03,0.95,bicubic
mobilenetv4_hybrid_medium.e500_r224_in1k,224,80.438,19.562,95.376,4.624,11.07,0.95,bicubic
wide_resnet50_2.tv2_in1k,176,80.436,19.564,95.082,4.918,68.88,0.875,bilinear
resnetv2_50.a1h_in1k,224,80.406,19.594,95.084,4.916,25.55,0.95,bicubic
regnety_120.pycls_in1k,224,80.382,19.618,95.104,4.896,51.82,0.875,bicubic
resnet50.a1_in1k,224,80.382,19.618,94.598,5.402,25.56,0.95,bicubic
resnext101_32x4d.gluon_in1k,224,80.336,19.664,94.908,5.092,44.18,0.875,bicubic
resnext50_32x4d.fb_ssl_yfcc100m_ft_in1k,224,80.316,19.684,95.386,4.614,25.03,0.875,bilinear
rexnet_150.nav_in1k,224,80.31,19.69,95.168,4.832,9.73,0.875,bicubic
convnextv2_pico.fcmae_ft_in1k,224,80.304,19.696,95.082,4.918,9.07,0.875,bicubic
poolformer_s24.sail_in1k,224,80.3,19.7,95.06,4.94,21.39,0.9,bicubic
resnet101s.gluon_in1k,224,80.286,19.714,95.15,4.85,44.67,0.875,bicubic
regnety_160.pycls_in1k,224,80.284,19.716,94.982,5.018,83.59,0.875,bicubic
legacy_seresnext101_32x4d.in1k,224,80.274,19.726,95.032,4.968,48.96,0.875,bilinear
res2net50d.in1k,224,80.27,19.73,95.02,4.98,25.72,0.875,bilinear
resnet50d.a2_in1k,224,80.268,19.732,94.642,5.358,25.58,0.95,bicubic
regnetx_320.pycls_in1k,224,80.262,19.738,95.012,4.988,107.81,0.875,bicubic
seresnet50.ra2_in1k,224,80.26,19.74,95.068,4.932,28.09,0.875,bicubic
repvgg_b3g4.rvgg_in1k,224,80.248,19.752,95.102,4.898,83.83,0.875,bilinear
vit_base_patch16_224.sam_in1k,224,80.242,19.758,94.768,5.232,86.57,0.9,bicubic
resnet152.tv2_in1k,176,80.212,19.788,94.654,5.346,60.19,0.875,bilinear
dpn107.mx_in1k,224,80.168,19.832,94.936,5.064,86.92,0.875,bicubic
skresnext50_32x4d.ra_in1k,224,80.166,19.834,94.644,5.356,27.48,0.875,bicubic
convmixer_768_32.in1k,224,80.158,19.842,95.07,4.93,21.11,0.96,bicubic
repvit_m1_0.dist_300e_in1k,224,80.152,19.848,94.77,5.23,7.3,0.95,bicubic
mobilenet_edgetpu_v2_m.ra4_e3600_r224_in1k,224,80.13,19.87,94.998,5.002,8.46,0.9,bicubic
mobilenet_edgetpu_v2_m,224,80.118,19.882,94.994,5.006,8.46,0.9,bicubic
seresnet50.a2_in1k,224,80.102,19.898,94.72,5.28,28.09,0.95,bicubic
resnet50_gn.a1h_in1k,224,80.066,19.934,94.954,5.046,25.56,0.94,bicubic
dpn92.mx_in1k,224,80.028,19.972,94.878,5.122,37.67,0.875,bicubic
seresnet50.a1_in1k,224,80.012,19.988,94.706,5.294,28.09,0.95,bicubic
seresnext50_32x4d.gluon_in1k,224,79.918,20.082,94.816,5.184,27.56,0.875,bicubic
resnetrs50.tf_in1k,224,79.916,20.084,94.974,5.026,35.69,0.91,bicubic
resnet152c.gluon_in1k,224,79.906,20.094,94.85,5.15,60.21,0.875,bicubic
resnet101.tv2_in1k,176,79.906,20.094,94.604,5.396,44.55,0.875,bilinear
resnet50.d_in1k,224,79.904,20.096,94.666,5.334,25.56,0.95,bicubic
hgnet_tiny.paddle_in1k,224,79.888,20.112,95.048,4.952,14.74,0.965,bicubic
regnety_080.pycls_in1k,224,79.882,20.118,94.836,5.164,39.18,0.875,bicubic
regnetz_b16.ra3_in1k,224,79.874,20.126,94.978,5.022,9.72,0.94,bicubic
resnet50.c2_in1k,224,79.868,20.132,94.866,5.134,25.56,0.95,bicubic
deit_small_patch16_224.fb_in1k,224,79.862,20.138,95.056,4.944,22.05,0.9,bicubic
levit_conv_192.fb_dist_in1k,224,79.86,20.14,94.802,5.198,10.95,0.9,bicubic
regnetx_160.pycls_in1k,224,79.858,20.142,94.824,5.176,54.28,0.875,bicubic
levit_192.fb_dist_in1k,224,79.85,20.15,94.804,5.196,10.95,0.9,bicubic
dpn131.mx_in1k,224,79.834,20.166,94.708,5.292,79.25,0.875,bicubic
resnet50.a2_in1k,224,79.828,20.172,94.56,5.44,25.56,0.95,bicubic
resnet101.a3_in1k,224,79.82,20.18,94.614,5.386,44.55,0.95,bicubic
resnext50_32x4d.ra_in1k,224,79.8,20.2,94.608,5.392,25.03,0.875,bicubic
resmlp_36_224.fb_in1k,224,79.772,20.228,94.888,5.112,44.69,0.875,bicubic
resnet50.c1_in1k,224,79.766,20.234,94.958,5.042,25.56,0.95,bicubic
gcvit_xxtiny.in1k,224,79.75,20.25,95.06,4.94,12.0,0.875,bicubic
cait_xxs36_224.fb_dist_in1k,224,79.738,20.262,94.862,5.138,17.3,1.0,bicubic
regnety_064.pycls_in1k,224,79.728,20.272,94.764,5.236,30.58,0.875,bicubic
ecaresnet50d_pruned.miil_in1k,224,79.722,20.278,94.872,5.128,19.94,0.875,bicubic
xcit_tiny_12_p8_224.fb_in1k,224,79.712,20.288,95.054,4.946,6.71,1.0,bicubic
resnet152.gluon_in1k,224,79.712,20.288,94.72,5.28,60.19,0.875,bicubic
efficientformerv2_s1.snap_dist_in1k,224,79.684,20.316,94.69,5.31,6.19,0.95,bicubic
resnext50d_32x4d.bt_in1k,224,79.672,20.328,94.878,5.122,25.05,0.875,bicubic
dpn98.mx_in1k,224,79.656,20.344,94.642,5.358,61.57,0.875,bicubic
gmlp_s16_224.ra3_in1k,224,79.644,20.356,94.628,5.372,19.42,0.875,bicubic
regnetx_120.pycls_in1k,224,79.608,20.392,94.734,5.266,46.11,0.875,bicubic
resnet50.b1k_in1k,224,79.564,20.436,94.622,5.378,25.56,0.95,bicubic
ecaresnet50t.a3_in1k,224,79.548,20.452,94.71,5.29,25.57,0.95,bicubic
convnext_pico_ols.d1_in1k,224,79.542,20.458,94.706,5.294,9.06,0.95,bicubic
resnet101c.gluon_in1k,224,79.542,20.458,94.588,5.412,44.57,0.875,bicubic
convnext_pico.d1_in1k,224,79.516,20.484,94.554,5.446,9.05,0.875,bicubic
rexnet_130.nav_in1k,224,79.49,20.51,94.684,5.316,7.56,0.875,bicubic
xcit_tiny_24_p16_224.fb_in1k,224,79.458,20.542,94.882,5.118,12.12,1.0,bicubic
hrnet_w64.ms_in1k,224,79.458,20.542,94.648,5.352,128.06,0.875,bilinear
regnetx_016.tv2_in1k,224,79.452,20.548,94.772,5.228,9.19,0.965,bicubic
mobileone_s4.apple_in1k,224,79.45,20.55,94.49,5.51,14.95,0.9,bilinear
dla102x2.in1k,224,79.448,20.552,94.654,5.346,41.28,0.875,bilinear
mobilenetv4_conv_blur_medium.e500_r224_in1k,224,79.446,20.554,94.92,5.08,9.72,0.95,bicubic
resnet50.tv2_in1k,176,79.432,20.568,94.632,5.368,25.56,0.875,bilinear
repvgg_b2g4.rvgg_in1k,224,79.396,20.604,94.68,5.32,61.76,0.875,bilinear
resnet50.b2k_in1k,224,79.38,20.62,94.576,5.424,25.56,0.95,bicubic
resmlp_24_224.fb_in1k,224,79.38,20.62,94.55,5.45,30.02,0.875,bicubic
resnext50_32x4d.tv2_in1k,176,79.374,20.626,94.302,5.698,25.03,0.875,bilinear
resnext50_32x4d.gluon_in1k,224,79.354,20.646,94.424,5.576,25.03,0.875,bicubic
hrnet_w48.ms_in1k,224,79.324,20.676,94.534,5.466,77.47,0.875,bilinear
ese_vovnet39b.ra_in1k,224,79.316,20.684,94.714,5.286,24.57,0.875,bicubic
resnext101_32x8d.tv_in1k,224,79.314,20.686,94.524,5.476,88.79,0.875,bilinear
resnet101.gluon_in1k,224,79.306,20.694,94.538,5.462,44.55,0.875,bicubic
resnetblur50.bt_in1k,224,79.306,20.694,94.632,5.368,25.56,0.875,bicubic
resnet50.a1h_in1k,176,79.26,20.74,94.498,5.502,25.56,0.9,bicubic
resnet50.fb_ssl_yfcc100m_ft_in1k,224,79.252,20.748,94.826,5.174,25.56,0.875,bilinear
resnext50_32x4d.a3_in1k,224,79.252,20.748,94.29,5.71,25.03,0.95,bicubic
efficientvit_b1.r224_in1k,224,79.24,20.76,94.294,5.706,9.1,0.95,bicubic
regnety_040.pycls_in1k,224,79.236,20.764,94.664,5.336,20.65,0.875,bicubic
regnetx_080.pycls_in1k,224,79.216,20.784,94.548,5.452,39.57,0.875,bicubic
tf_efficientnetv2_b2.in1k,208,79.206,20.794,94.602,5.398,10.1,0.89,bicubic
tiny_vit_5m_224.in1k,224,79.196,20.804,94.802,5.198,5.39,0.95,bicubic
res2net101_26w_4s.in1k,224,79.186,20.814,94.464,5.536,45.21,0.875,bilinear
pit_xs_distilled_224.in1k,224,79.168,20.832,94.368,5.632,11.0,0.9,bicubic
vit_base_patch16_224.augreg_in1k,224,79.142,20.858,94.09,5.91,86.57,0.9,bicubic
coat_lite_mini.in1k,224,79.096,20.904,94.592,5.408,11.01,0.9,bicubic
mobilenetv4_conv_medium.e500_r224_in1k,224,79.092,20.908,94.788,5.212,9.72,0.95,bicubic
legacy_seresnext50_32x4d.in1k,224,79.084,20.916,94.432,5.568,27.56,0.875,bilinear
resnet50d.gluon_in1k,224,79.08,20.92,94.458,5.542,25.58,0.875,bicubic
regnetx_064.pycls_in1k,224,79.06,20.94,94.47,5.53,26.21,0.875,bicubic
repvit_m0_9.dist_450e_in1k,224,79.058,20.942,94.388,5.612,5.49,0.95,bicubic
resnet50.ram_in1k,224,79.032,20.968,94.386,5.614,25.56,0.875,bicubic
resnet50.am_in1k,224,79.004,20.996,94.392,5.608,25.56,0.875,bicubic
mixnet_l.ft_in1k,224,78.97,21.03,94.18,5.82,7.33,0.875,bicubic
res2net50_26w_8s.in1k,224,78.948,21.052,94.28,5.72,48.4,0.875,bilinear
hrnet_w40.ms_in1k,224,78.924,21.076,94.478,5.522,57.56,0.875,bilinear
resnet152.a3_in1k,160,78.896,21.104,94.124,5.876,60.19,0.95,bicubic
hgnetv2_b1.ssld_stage2_ft_in1k,224,78.896,21.104,94.484,5.516,6.34,0.965,bicubic
regnety_032.pycls_in1k,224,78.896,21.104,94.428,5.572,19.44,0.875,bicubic
hrnet_w44.ms_in1k,224,78.882,21.118,94.374,5.626,67.06,0.875,bilinear
wide_resnet101_2.tv_in1k,224,78.848,21.152,94.312,5.688,126.89,0.875,bilinear
vit_small_patch16_224.augreg_in1k,224,78.842,21.158,94.278,5.722,22.05,0.9,bicubic
resnet50.ra_in1k,224,78.814,21.186,94.32,5.68,25.56,0.875,bicubic
repvgg_b2.rvgg_in1k,224,78.794,21.206,94.414,5.586,89.02,0.875,bilinear
repghostnet_200.in1k,224,78.79,21.21,94.336,5.664,9.8,0.875,bicubic
