model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
tf_mixnet_l.in1k,224,78.776,21.224,93.998,6.002,7.33,0.875,bicubic
resnet50d.a3_in1k,224,78.742,21.258,94.236,5.764,25.58,0.95,bicubic
resnet50s.gluon_in1k,224,78.71,21.29,94.248,5.752,25.68,0.875,bicubic
dla169.in1k,224,78.706,21.294,94.338,5.662,53.39,0.875,bilinear
pvt_v2_b1.in1k,224,78.702,21.298,94.492,5.508,14.01,0.9,bicubic
tf_efficientnet_b0.ns_jft_in1k,224,78.684,21.316,94.37,5.63,5.29,0.875,bicubic
legacy_seresnet152.in1k,224,78.66,21.34,94.372,5.628,66.82,0.875,bilinear
fbnetv3_d.ra2_in1k,224,78.656,21.344,94.454,5.546,10.31,0.95,bilinear
regnety_008_tv.tv2_in1k,224,78.656,21.344,94.382,5.618,6.43,0.965,bicubic
repvit_m0_9.dist_300e_in1k,224,78.654,21.346,94.114,5.886,5.49,0.95,bicubic
res2net50_26w_6s.in1k,224,78.584,21.416,94.106,5.894,37.05,0.875,bilinear
xcit_tiny_12_p16_224.fb_dist_in1k,224,78.578,21.422,94.21,5.79,6.72,1.0,bicubic
efficientnet_b0.ra4_e3600_r224_in1k,224,78.572,21.428,94.338,5.662,5.29,0.9,bicubic
dpn68b.ra_in1k,224,78.544,21.456,93.978,6.022,12.61,0.95,bicubic
repvit_m1.dist_in1k,224,78.542,21.458,94.082,5.918,5.49,0.95,bicubic
dla102x.in1k,224,78.5,21.5,94.228,5.772,26.31,0.875,bilinear
regnetx_040.pycls_in1k,224,78.494,21.506,94.242,5.758,22.12,0.875,bicubic
dla60_res2next.in1k,224,78.488,21.512,94.144,5.856,17.03,0.875,bilinear
levit_conv_128.fb_dist_in1k,224,78.488,21.512,94.0,6.0,9.21,0.9,bicubic
levit_128.fb_dist_in1k,224,78.486,21.514,93.998,6.002,9.21,0.9,bicubic
convnextv2_femto.fcmae_ft_in1k,224,78.484,21.516,93.994,6.006,5.23,0.875,bicubic
dla60_res2net.in1k,224,78.48,21.52,94.202,5.798,20.85,0.875,bilinear
wide_resnet50_2.tv_in1k,224,78.48,21.52,94.086,5.914,68.88,0.875,bilinear
resnest26d.gluon_in1k,224,78.476,21.524,94.3,5.7,17.07,0.875,bilinear
hrnet_w32.ms_in1k,224,78.456,21.544,94.186,5.814,41.23,0.875,bilinear
coat_tiny.in1k,224,78.442,21.558,94.036,5.964,5.5,0.9,bicubic
resnet50.bt_in1k,224,78.432,21.568,94.27,5.73,25.56,0.875,bicubic
selecsls60b.in1k,224,78.41,21.59,94.166,5.834,32.77,0.875,bicubic
legacy_seresnet101.in1k,224,78.396,21.604,94.258,5.742,49.33,0.875,bilinear
cait_xxs24_224.fb_dist_in1k,224,78.392,21.608,94.334,5.666,11.96,1.0,bicubic
tf_efficientnetv2_b0.in1k,224,78.38,21.62,94.026,5.974,7.14,0.875,bicubic
repvgg_b1.rvgg_in1k,224,78.372,21.628,94.108,5.892,57.42,0.875,bilinear
resnet152.tv_in1k,224,78.33,21.67,94.046,5.954,60.19,0.875,bilinear
res2next50.in1k,224,78.236,21.764,93.904,6.096,24.67,0.875,bilinear
dla60x.in1k,224,78.23,21.77,94.02,5.98,17.35,0.875,bilinear
hrnet_w30.ms_in1k,224,78.214,21.786,94.214,5.786,37.71,0.875,bilinear
pit_xs_224.in1k,224,78.212,21.788,94.15,5.85,10.62,0.9,bicubic
hrnet_w18_small_v2.gluon_in1k,224,78.184,21.816,93.912,6.088,15.6,0.875,bicubic
regnetx_032.pycls_in1k,224,78.166,21.834,94.09,5.91,15.3,0.875,bicubic
fbnetv3_b.ra2_in1k,224,78.16,21.84,94.242,5.758,8.6,0.95,bilinear
visformer_tiny.in1k,224,78.16,21.84,94.164,5.836,10.32,0.9,bicubic
res2net50_14w_8s.in1k,224,78.146,21.854,93.85,6.15,25.06,0.875,bilinear
hrnet_w18.ms_aug_in1k,224,78.116,21.884,94.062,5.938,21.3,0.95,bilinear
hardcorenas_f.miil_green_in1k,224,78.108,21.892,93.8,6.2,8.2,0.875,bilinear
efficientnet_es.ra_in1k,224,78.092,21.908,93.932,6.068,5.44,0.875,bicubic
hgnetv2_b1.ssld_stage1_in22k_in1k,224,78.078,21.922,94.186,5.814,6.34,0.965,bicubic
resnet50.a3_in1k,224,78.052,21.948,93.78,6.22,25.56,0.95,bicubic
gmixer_24_224.ra3_in1k,224,78.048,21.952,93.654,6.346,24.72,0.875,bicubic
dla102.in1k,224,78.018,21.982,93.948,6.052,33.27,0.875,bilinear
resnet50c.gluon_in1k,224,78.016,21.984,93.994,6.006,25.58,0.875,bicubic
poolformerv2_s12.sail_in1k,224,78.008,21.992,93.864,6.136,11.89,1.0,bicubic
mobileone_s3.apple_in1k,224,78.002,21.998,93.91,6.09,10.17,0.9,bilinear
res2net50_26w_4s.in1k,224,77.986,22.014,93.862,6.138,25.7,0.875,bilinear
selecsls60.in1k,224,77.986,22.014,93.826,6.174,30.67,0.875,bicubic
seresnext26t_32x4d.bt_in1k,224,77.98,22.02,93.75,6.25,16.81,0.875,bicubic
resmlp_12_224.fb_distilled_in1k,224,77.948,22.052,93.562,6.438,15.35,0.875,bicubic
tf_efficientnetv2_b1.in1k,192,77.93,22.07,93.822,6.178,8.14,0.882,bicubic
resnet101.a3_in1k,160,77.928,22.072,93.686,6.314,44.55,0.95,bicubic
tf_efficientnet_cc_b0_8e.in1k,224,77.924,22.076,93.65,6.35,24.01,0.875,bicubic
mobilenetv3_large_100.miil_in21k_ft_in1k,224,77.91,22.09,92.884,7.116,5.48,0.875,bilinear
regnety_016.pycls_in1k,224,77.908,22.092,93.724,6.276,11.2,0.875,bicubic
resnetrs50.tf_in1k,160,77.85,22.15,93.814,6.186,35.69,0.91,bicubic
rexnet_100.nav_in1k,224,77.846,22.154,93.876,6.124,4.8,0.875,bicubic
convnext_femto_ols.d1_in1k,224,77.844,22.156,93.824,6.176,5.23,0.875,bicubic
ghostnetv2_160.in1k,224,77.836,22.164,93.942,6.058,12.39,0.875,bicubic
hardcorenas_e.miil_green_in1k,224,77.79,22.21,93.69,6.31,8.07,0.875,bilinear
ecaresnet50t.a3_in1k,160,77.78,22.22,93.612,6.388,25.57,0.95,bicubic
resnext50_32x4d.a3_in1k,160,77.734,22.266,93.314,6.686,25.03,0.95,bicubic
efficientnet_b0.ra_in1k,224,77.696,22.304,93.54,6.46,5.29,0.875,bicubic
tinynet_a.in1k,192,77.664,22.336,93.532,6.468,6.19,0.875,bicubic
legacy_seresnet50.in1k,224,77.644,22.356,93.72,6.28,28.09,0.875,bilinear
resnext50_32x4d.tv_in1k,224,77.632,22.368,93.674,6.326,25.03,0.875,bilinear
repvgg_b1g4.rvgg_in1k,224,77.602,22.398,93.844,6.156,39.97,0.875,bilinear
efficientnet_b1.ft_in1k,224,77.594,22.406,93.63,6.37,7.79,0.875,bicubic
seresnext26d_32x4d.bt_in1k,224,77.586,22.414,93.61,6.39,16.81,0.875,bicubic
resnet50.gluon_in1k,224,77.58,22.42,93.726,6.274,25.56,0.875,bicubic
coat_lite_tiny.in1k,224,77.548,22.452,93.924,6.076,5.72,0.9,bicubic
dpn68b.mx_in1k,224,77.542,22.458,93.842,6.158,12.61,0.875,bicubic
res2net50_48w_2s.in1k,224,77.536,22.464,93.564,6.436,25.29,0.875,bilinear
convnext_femto.d1_in1k,224,77.508,22.492,93.688,6.312,5.22,0.875,bicubic
mobileone_s2.apple_in1k,224,77.504,22.496,93.664,6.336,7.88,0.9,bilinear
repghostnet_150.in1k,224,77.47,22.53,93.498,6.502,6.58,0.875,bicubic
hardcorenas_d.miil_green_in1k,224,77.45,22.55,93.48,6.52,7.5,0.875,bilinear
resnet101.tv_in1k,224,77.404,22.596,93.552,6.448,44.55,0.875,bilinear
densenet161.tv_in1k,224,77.35,22.65,93.654,6.346,28.68,0.875,bicubic
hgnetv2_b0.ssld_stage2_ft_in1k,224,77.342,22.658,93.786,6.214,6.0,0.965,bicubic
tf_efficientnet_cc_b0_4e.in1k,224,77.324,22.676,93.332,6.668,13.31,0.875,bicubic
mobilenetv2_120d.ra_in1k,224,77.298,22.702,93.516,6.484,5.83,0.875,bicubic
regnetx_008.tv2_in1k,224,77.288,22.712,93.662,6.338,7.26,0.965,bicubic
densenet201.tv_in1k,224,77.284,22.716,93.48,6.52,20.01,0.875,bicubic
mixnet_m.ft_in1k,224,77.274,22.726,93.428,6.572,5.01,0.875,bicubic
poolformer_s12.sail_in1k,224,77.244,22.756,93.538,6.462,11.92,0.9,bicubic
resnet50d.a3_in1k,160,77.222,22.778,93.256,6.744,25.58,0.95,bicubic
selecsls42b.in1k,224,77.186,22.814,93.392,6.608,32.46,0.875,bicubic
xcit_tiny_12_p16_224.fb_in1k,224,77.142,22.858,93.73,6.27,6.72,1.0,bicubic
resnet34d.ra2_in1k,224,77.104,22.896,93.376,6.624,21.82,0.875,bicubic
legacy_seresnext26_32x4d.in1k,224,77.1,22.9,93.332,6.668,16.79,0.875,bicubic
hardcorenas_c.miil_green_in1k,224,77.094,22.906,93.192,6.808,5.52,0.875,bilinear
tf_efficientnet_b0.ap_in1k,224,77.094,22.906,93.26,6.74,5.29,0.875,bicubic
efficientvit_m5.r224_in1k,224,77.082,22.918,93.166,6.834,12.47,0.875,bicubic
dla60.in1k,224,77.046,22.954,93.318,6.682,22.04,0.875,bilinear
seresnet50.a3_in1k,224,77.036,22.964,93.072,6.928,28.09,0.95,bicubic
tf_mixnet_m.in1k,224,76.964,23.036,93.168,6.832,5.01,0.875,bicubic
skresnet34.ra_in1k,224,76.956,23.044,93.318,6.682,22.28,0.875,bicubic
convmixer_1024_20_ks9_p14.in1k,224,76.944,23.056,93.364,6.636,24.38,0.96,bicubic
mobilenetv1_125.ra4_e3600_r224_in1k,224,76.928,23.072,93.216,6.784,6.27,0.9,bicubic
regnetx_016.pycls_in1k,224,76.924,23.076,93.43,6.57,9.19,0.875,bicubic
gernet_s.idstcv_in1k,224,76.902,23.098,93.136,6.864,8.17,0.875,bilinear
tf_efficientnet_b0.aa_in1k,224,76.882,23.118,93.27,6.73,5.29,0.875,bicubic
tf_efficientnetv2_b0.in1k,192,76.88,23.12,93.184,6.816,7.14,0.875,bicubic
hgnetv2_b0.ssld_stage1_in22k_in1k,224,76.844,23.156,93.612,6.388,6.0,0.965,bicubic
ese_vovnet19b_dw.ra_in1k,224,76.798,23.202,93.272,6.728,6.54,0.875,bicubic
ghostnetv2_130.in1k,224,76.762,23.238,93.36,6.64,8.96,0.875,bicubic
hrnet_w18.ms_in1k,224,76.76,23.24,93.446,6.554,21.3,0.875,bilinear
resnet26d.bt_in1k,224,76.698,23.302,93.156,6.844,16.01,0.875,bicubic
resmlp_12_224.fb_in1k,224,76.66,23.34,93.17,6.83,15.35,0.875,bicubic
convnextv2_atto.fcmae_ft_in1k,224,76.646,23.354,93.044,6.956,3.71,0.875,bicubic
mixer_b16_224.goog_in21k_ft_in1k,224,76.64,23.36,92.228,7.772,59.88,0.875,bicubic
tf_efficientnet_es.in1k,224,76.608,23.392,93.176,6.824,5.44,0.875,bicubic
densenetblur121d.ra_in1k,224,76.572,23.428,93.186,6.814,8.0,0.875,bicubic
hardcorenas_b.miil_green_in1k,224,76.552,23.448,92.766,7.234,5.18,0.875,bilinear
tf_efficientnet_b0.in1k,224,76.536,23.464,93.01,6.99,5.29,0.875,bicubic
levit_conv_128s.fb_dist_in1k,224,76.534,23.466,92.882,7.118,7.78,0.9,bicubic
mobilenetv2_140.ra_in1k,224,76.528,23.472,93.008,6.992,6.11,0.875,bicubic
levit_128s.fb_dist_in1k,224,76.522,23.478,92.874,7.126,7.78,0.9,bicubic
repvgg_a2.rvgg_in1k,224,76.492,23.508,93.016,6.984,28.21,0.875,bilinear
resnet34.a1_in1k,224,76.414,23.586,92.886,7.114,21.8,0.95,bicubic
repghostnet_130.in1k,224,76.366,23.634,92.898,7.102,5.48,0.875,bicubic
dpn68.mx_in1k,224,76.338,23.662,92.99,7.01,12.61,0.875,bicubic
regnety_008.pycls_in1k,224,76.334,23.666,93.06,6.94,6.26,0.875,bicubic
xcit_nano_12_p8_224.fb_dist_in1k,224,76.328,23.672,93.07,6.93,3.05,1.0,bicubic
resnet50.tv_in1k,224,76.156,23.844,92.866,7.134,25.56,0.875,bilinear
efficientformerv2_s0.snap_dist_in1k,224,76.116,23.884,92.854,7.146,3.6,0.95,bicubic
mixnet_s.ft_in1k,224,76.002,23.998,92.8,7.2,4.13,0.875,bicubic
vit_small_patch32_224.augreg_in21k_ft_in1k,224,75.996,24.004,93.272,6.728,22.88,0.9,bicubic
resnet50.a3_in1k,160,75.994,24.006,92.494,7.506,25.56,0.95,bicubic
hardcorenas_a.miil_green_in1k,224,75.926,24.074,92.486,7.514,5.26,0.875,bilinear
densenet169.tv_in1k,224,75.922,24.078,92.976,7.024,14.15,0.875,bicubic
convnext_atto_ols.a2_in1k,224,75.902,24.098,92.844,7.156,3.7,0.875,bicubic
mobilenetv3_large_100.ra_in1k,224,75.786,24.214,92.528,7.472,5.48,0.875,bicubic
mobileone_s1.apple_in1k,224,75.774,24.226,92.788,7.212,4.83,0.9,bilinear
convnext_atto.d2_in1k,224,75.668,24.332,92.912,7.088,3.7,0.875,bicubic
mobilenetv1_100h.ra4_e3600_r224_in1k,224,75.658,24.342,92.504,7.496,5.28,0.875,bicubic
tf_mixnet_s.in1k,224,75.652,24.348,92.628,7.372,4.13,0.875,bicubic
mobilenetv3_rw.rmsp_in1k,224,75.614,24.386,92.698,7.302,5.48,0.875,bicubic
regnety_004.tv2_in1k,224,75.588,24.412,92.698,7.302,4.34,0.965,bicubic
densenet121.ra_in1k,224,75.576,24.424,92.648,7.352,7.98,0.875,bicubic
resnest14d.gluon_in1k,224,75.516,24.484,92.514,7.486,10.61,0.875,bilinear
resnet34.a2_in1k,224,75.516,24.484,92.456,7.544,21.8,0.95,bicubic
tf_mobilenetv3_large_100.in1k,224,75.514,24.486,92.602,7.398,5.48,0.875,bilinear
efficientnet_lite0.ra_in1k,224,75.49,24.51,92.514,7.486,4.65,0.875,bicubic
semnasnet_100.rmsp_in1k,224,75.464,24.536,92.612,7.388,3.89,0.875,bicubic
vit_tiny_patch16_224.augreg_in21k_ft_in1k,224,75.452,24.548,92.854,7.146,5.72,0.9,bicubic
mobilenetv1_100.ra4_e3600_r224_in1k,224,75.384,24.616,92.312,7.688,4.23,0.875,bicubic
resnet26.bt_in1k,224,75.292,24.708,92.572,7.428,16.0,0.875,bicubic
regnety_006.pycls_in1k,224,75.262,24.738,92.526,7.474,6.06,0.875,bicubic
ghostnetv2_100.in1k,224,75.176,24.824,92.334,7.666,6.16,0.875,bicubic
repvgg_b0.rvgg_in1k,224,75.162,24.838,92.42,7.58,15.82,0.875,bilinear
resnet34.bt_in1k,224,75.162,24.838,92.17,7.83,21.8,0.875,bicubic
fbnetc_100.rmsp_in1k,224,75.114,24.886,92.382,7.618,5.57,0.875,bilinear
seresnet50.a3_in1k,160,75.1,24.9,92.096,7.904,28.09,0.95,bicubic
hrnet_w18_small_v2.ms_in1k,224,75.098,24.902,92.418,7.582,15.6,0.875,bilinear
repghostnet_111.in1k,224,75.068,24.932,92.184,7.816,4.54,0.875,bicubic
regnetx_008.pycls_in1k,224,75.062,24.938,92.34,7.66,7.26,0.875,bicubic
mobilenetv2_110d.ra_in1k,224,75.054,24.946,92.186,7.814,4.52,0.875,bicubic
efficientnet_es_pruned.in1k,224,75.0,25.0,92.448,7.552,5.44,0.875,bicubic
tinynet_b.in1k,188,74.966,25.034,92.196,7.804,3.73,0.875,bicubic
vit_base_patch32_224.augreg_in1k,224,74.906,25.094,91.77,8.23,88.22,0.9,bicubic
tf_efficientnet_lite0.in1k,224,74.846,25.154,92.18,7.82,4.65,0.875,bicubic
legacy_seresnet34.in1k,224,74.788,25.212,92.134,7.866,21.96,0.875,bilinear
densenet121.tv_in1k,224,74.748,25.252,92.154,7.846,7.98,0.875,bicubic
mnasnet_100.rmsp_in1k,224,74.662,25.338,92.108,7.892,4.38,0.875,bicubic
dla34.in1k,224,74.632,25.368,92.052,7.948,15.74,0.875,bilinear
regnetx_004_tv.tv2_in1k,224,74.584,25.416,92.17,7.83,5.5,0.965,bicubic
resnet34.gluon_in1k,224,74.574,25.426,91.988,8.012,21.8,0.875,bicubic
deit_tiny_distilled_patch16_224.fb_in1k,224,74.54,25.46,91.894,8.106,5.91,0.9,bicubic
repvgg_a1.rvgg_in1k,224,74.468,25.532,91.84,8.16,14.09,0.875,bilinear
efficientvit_m4.r224_in1k,224,74.346,25.654,91.984,8.016,8.8,0.875,bicubic
pit_ti_distilled_224.in1k,224,74.278,25.722,91.928,8.072,5.1,0.9,bicubic
vgg19_bn.tv_in1k,224,74.236,25.764,91.844,8.156,143.68,0.875,bilinear
repghostnet_100.in1k,224,74.2,25.8,91.55,8.45,4.07,0.875,bicubic
spnasnet_100.rmsp_in1k,224,74.082,25.918,91.828,8.172,4.42,0.875,bilinear
regnety_004.pycls_in1k,224,74.006,25.994,91.756,8.244,4.34,0.875,bicubic
ghostnet_100.in1k,224,73.96,26.04,91.542,8.458,5.18,0.875,bicubic
hrnet_w18_small.gluon_in1k,224,73.932,26.068,91.172,8.828,13.19,0.875,bicubic
xcit_nano_12_p8_224.fb_in1k,224,73.9,26.1,92.146,7.854,3.05,1.0,bicubic
regnetx_006.pycls_in1k,224,73.884,26.116,91.666,8.334,6.2,0.875,bicubic
mobilenetv4_conv_small.e2400_r224_in1k,224,73.73,26.27,91.426,8.574,3.77,0.875,bicubic
vit_base_patch32_224.sam_in1k,224,73.706,26.294,91.012,8.988,88.22,0.9,bicubic
tf_mobilenetv3_large_075.in1k,224,73.448,26.552,91.344,8.656,3.99,0.875,bilinear
mobilenetv4_conv_small.e1200_r224_in1k,224,73.436,26.564,91.342,8.658,3.77,0.875,bicubic
efficientvit_m3.r224_in1k,224,73.408,26.592,91.348,8.652,6.9,0.875,bicubic
vgg16_bn.tv_in1k,224,73.356,26.644,91.5,8.5,138.37,0.875,bilinear
resnet34.tv_in1k,224,73.298,26.702,91.422,8.578,21.8,0.875,bilinear
resnet18.fb_swsl_ig1b_ft_in1k,224,73.288,26.712,91.754,8.246,11.69,0.875,bilinear
convit_tiny.fb_in1k,224,73.126,26.874,91.69,8.31,5.71,0.875,bicubic
skresnet18.ra_in1k,224,73.02,26.98,91.174,8.826,11.96,0.875,bicubic
semnasnet_075.rmsp_in1k,224,73.008,26.992,91.126,8.874,2.91,0.875,bicubic
resnet34.a3_in1k,224,72.982,27.018,91.116,8.884,21.8,0.95,bicubic
mobilenetv2_100.ra_in1k,224,72.936,27.064,91.002,8.998,3.5,0.875,bicubic
pit_ti_224.in1k,224,72.924,27.076,91.412,8.588,4.85,0.9,bicubic
resnet18.fb_ssl_yfcc100m_ft_in1k,224,72.636,27.364,91.416,8.584,11.69,0.875,bilinear
regnetx_004.pycls_in1k,224,72.432,27.568,90.848,9.152,5.16,0.875,bicubic
repvgg_a0.rvgg_in1k,224,72.424,27.576,90.514,9.486,9.11,0.875,bilinear
vgg19.tv_in1k,224,72.4,27.6,90.878,9.122,143.67,0.875,bilinear
hrnet_w18_small.ms_in1k,224,72.334,27.666,90.686,9.314,13.19,0.875,bilinear
xcit_nano_12_p16_224.fb_dist_in1k,224,72.318,27.682,90.826,9.174,3.05,1.0,bicubic
tf_mobilenetv3_large_minimal_100.in1k,224,72.27,27.73,90.662,9.338,3.92,0.875,bilinear
resnet18d.ra2_in1k,224,72.268,27.732,90.682,9.318,11.71,0.875,bicubic
resnet14t.c3_in1k,224,72.242,27.758,90.318,9.682,10.08,0.95,bicubic
repghostnet_080.in1k,224,72.236,27.764,90.49,9.51,3.28,0.875,bicubic
deit_tiny_patch16_224.fb_in1k,224,72.196,27.804,91.1,8.9,5.72,0.9,bicubic
lcnet_100.ra2_in1k,224,72.128,27.872,90.368,9.632,2.95,0.875,bicubic
mixer_l16_224.goog_in21k_ft_in1k,224,72.09,27.91,87.65,12.35,208.2,0.875,bicubic
vit_tiny_r_s16_p8_224.augreg_in21k_ft_in1k,224,71.82,28.18,90.814,9.186,6.34,0.9,bicubic
legacy_seresnet18.in1k,224,71.742,28.258,90.34,9.66,11.78,0.875,bicubic
vgg16.tv_in1k,224,71.6,28.4,90.398,9.602,138.36,0.875,bilinear
vgg13_bn.tv_in1k,224,71.556,28.444,90.372,9.628,133.05,0.875,bilinear
resnet18.a1_in1k,224,71.488,28.512,90.076,9.924,11.69,0.95,bicubic
efficientvit_b0.r224_in1k,224,71.404,28.596,89.434,10.566,3.41,0.95,bicubic
mobileone_s0.apple_in1k,224,71.398,28.602,89.864,10.136,5.29,0.875,bilinear
resnet14t.c3_in1k,176,71.318,28.682,89.68,10.32,10.08,0.875,bicubic
tinynet_c.in1k,184,71.224,28.776,89.746,10.254,2.46,0.875,bicubic
resnet18.gluon_in1k,224,70.844,29.156,89.75,10.25,11.69,0.875,bicubic
efficientvit_m2.r224_in1k,224,70.8,29.2,90.16,9.84,4.19,0.875,bicubic
pvt_v2_b0.in1k,224,70.656,29.344,90.212,9.788,3.67,0.9,bicubic
resnet18.a2_in1k,224,70.634,29.366,89.486,10.514,11.69,0.95,bicubic
resnet34.a3_in1k,160,70.572,29.428,89.522,10.478,21.8,0.95,bicubic
vgg11_bn.tv_in1k,224,70.384,29.616,89.808,10.192,132.87,0.875,bilinear
regnety_002.pycls_in1k,224,70.294,29.706,89.534,10.466,3.16,0.875,bicubic
xcit_nano_12_p16_224.fb_in1k,224,69.982,30.018,89.782,10.218,3.05,1.0,bicubic
vgg13.tv_in1k,224,69.94,30.06,89.256,10.744,133.05,0.875,bilinear
resnet18.tv_in1k,224,69.752,30.248,89.08,10.92,11.69,0.875,bilinear
vgg11.tv_in1k,224,69.048,30.952,88.632,11.368,132.86,0.875,bilinear
repghostnet_058.in1k,224,68.934,31.066,88.386,11.614,2.55,0.875,bicubic
lcnet_075.ra2_in1k,224,68.784,31.216,88.388,11.612,2.36,0.875,bicubic
regnetx_002.pycls_in1k,224,68.76,31.24,88.564,11.436,2.68,0.875,bicubic
efficientvit_m1.r224_in1k,224,68.352,31.648,88.684,11.316,2.98,0.875,bicubic
resnet10t.c3_in1k,224,68.346,31.654,88.022,11.978,5.44,0.95,bicubic
resnet18.a3_in1k,224,68.246,31.754,88.158,11.842,11.69,0.95,bicubic
tf_mobilenetv3_small_100.in1k,224,67.932,32.068,87.684,12.316,2.54,0.875,bilinear
dla60x_c.in1k,224,67.928,32.072,88.426,11.574,1.32,0.875,bilinear
mobilenetv3_small_100.lamb_in1k,224,67.638,32.362,87.65,12.35,2.54,0.875,bicubic
repghostnet_050.in1k,224,66.98,33.02,86.94,13.06,2.31,0.875,bicubic
tinynet_d.in1k,152,66.966,33.034,87.064,12.936,2.34,0.875,bicubic
resnet10t.c3_in1k,176,66.724,33.276,86.974,13.026,5.44,0.875,bicubic
mnasnet_small.lamb_in1k,224,66.196,33.804,86.472,13.528,2.03,0.875,bicubic
dla46x_c.in1k,224,66.008,33.992,86.946,13.054,1.07,0.875,bilinear
mobilenetv2_050.lamb_in1k,224,65.93,34.07,86.102,13.898,1.97,0.875,bicubic
tf_mobilenetv3_small_075.in1k,224,65.732,34.268,86.142,13.858,2.04,0.875,bilinear
resnet18.a3_in1k,160,65.664,34.336,86.278,13.722,11.69,0.95,bicubic
mobilenetv3_small_075.lamb_in1k,224,65.266,34.734,85.466,14.534,2.04,0.875,bicubic
dla46_c.in1k,224,64.88,35.12,86.33,13.67,1.3,0.875,bilinear
efficientvit_m0.r224_in1k,224,63.294,36.706,85.15,14.85,2.35,0.875,bicubic
lcnet_050.ra2_in1k,224,63.13,36.87,84.4,15.6,1.88,0.875,bicubic
tf_mobilenetv3_small_minimal_100.in1k,224,62.894,37.106,84.284,15.716,2.04,0.875,bilinear
tinynet_e.in1k,106,59.874,40.126,81.77,18.23,2.04,0.875,bicubic
mobilenetv3_small_050.lamb_in1k,224,57.924,42.076,80.142,19.858,1.59,0.875,bicubic
test_efficientnet.r160_in1k,160,46.424,53.576,70.958,29.042,0.36,0.875,bicubic
test_byobnet.r160_in1k,160,45.4,54.6,70.61,29.39,0.46,0.875,bicubic
test_vit.r160_in1k,160,40.832,59.168,67.206,32.794,0.37,0.875,bicubic
